mof_name,temperature,pressure,h2_fraction,ch4_fraction,num_atoms,h2_molecules,ch4_molecules,total_molecules,selectivity,framework_density_g_cm3,accessible_surface_area_m2_g,void_fraction,accessible_volume_cm3_g,largest_included_sphere_diameter_angstrom,largest_free_sphere_diameter_angstrom,pore_limiting_diameter_angstrom
MOF_0603,298,60,0.98,0.02,60,9,1,10,0.1836734693877551,1.544632,1116.86,0.05016,0.032472,4.33951,3.0925,4.33853
MOF_0603,298,50,0.9,0.1,60,9,1,10,1.0,1.544632,1116.86,0.05016,0.032472,4.33951,3.0925,4.33853
MOF_0603,298,35,0.75,0.25,60,9,1,10,3.0,1.544632,1116.86,0.05016,0.032472,4.33951,3.0925,4.33853
MOF_0603,298,25,0.65,0.35,60,9,1,10,4.846153846153846,1.544632,1116.86,0.05016,0.032472,4.33951,3.0925,4.33853
MOF_0631,298,60,0.98,0.02,536,91,32,123,0.0580357142857142,0.654725,3995.97,0.36666,0.560022,8.3964,7.60554,8.39098
MOF_0631,298,50,0.9,0.1,536,87,33,120,0.2929292929292929,0.654725,3995.97,0.36666,0.560022,8.3964,7.60554,8.39098
MOF_0631,298,35,0.75,0.25,536,89,34,123,0.8725490196078431,0.654725,3995.97,0.36666,0.560022,8.3964,7.60554,8.39098
MOF_0631,298,25,0.65,0.35,536,90,33,123,1.4685314685314683,0.654725,3995.97,0.36666,0.560022,8.3964,7.60554,8.39098
MOF_0635,298,60,0.98,0.02,536,91,37,128,0.0501930501930502,0.633677,3797.18,0.38754,0.611574,10.15927,6.3821,9.86613
MOF_0635,298,50,0.9,0.1,536,93,37,130,0.2792792792792793,0.633677,3797.18,0.38754,0.611574,10.15927,6.3821,9.86613
MOF_0635,298,35,0.75,0.25,536,92,38,130,0.8070175438596491,0.633677,3797.18,0.38754,0.611574,10.15927,6.3821,9.86613
MOF_0635,298,25,0.65,0.35,536,86,41,127,1.129455909943715,0.633677,3797.18,0.38754,0.611574,10.15927,6.3821,9.86613
MOF_0637,298,60,0.98,0.02,60,9,1,10,0.1836734693877551,1.540701,1089.39,0.04834,0.031374,4.38152,2.99318,4.3608
MOF_0637,298,50,0.9,0.1,60,8,1,9,0.888888888888889,1.540701,1089.39,0.04834,0.031374,4.38152,2.99318,4.3608
